PlayerNames,Position,Earned Run Average,Wins,Losses,Innings Pitched,Strikeouts
jon lester,Starting Pitcher,3.75,15,8,213.1,177
clay buchholz,Starting Pitcher,1.74,12,1,108.1,96
john lackey,Starting Pitcher,3.52,10,13,189.1,161
jake peavy,Starting Pitcher, 4.17,12,5,144.2,121
craig breslow,Relief Pitcher,1.81,5,2,59.2,33
ryan dempster,Starting Pitcher,4.57,8,9,171.1,157
felix doubront,Relief Pitcher,4.32,11,6,162.1,139
franklin morales,Relief Pitcher,4.62,2,2,25.1,21
junichi tazawa,Relief Pitcher,3.16,5,4,68.1,72
koji uehara,Closing Pitcher,1.09,5,1,74.1,101
brandon workman,Relief Pitcher,4.97,6,3,41.2,47
