PlayerNames,Position,Batting Average,Home Runs,At Bats
david ross,Catcher,0.216,4,102
jarrod saltalamacchia,Catcher,0.273,14,425
xander bogaerts,Shortstop,0.250,1,44
will middlebrooks,3rd Base,0.227,17,348
mike napoli,1st Base,0.259,23,498
david ortiz,Designated Hitter,0.309,30,518
dustin pedroia,2nd Base,0.301,9,641
quintin berry,Centerfield,0.625,1,8
mike carp,Rightfield,0.296,9,216
jacoby ellsbury,Centerfield,0.298,9,577
jonny gomes,Leftfield,0.247,13,312
daniel nava,Rightfield,0.303,12,458
shane victorino,Leftfield,0.294,15,477
stephen drew,Shortstop,0.253,13,442
